Date,Count
2021-02-01,249
2021-02-02,312
2021-02-03,222
2021-02-04,244
2021-02-05,261
2021-02-06,145
2021-02-07,209
2021-02-08,216
2021-02-09,353
2021-02-10,417
2021-02-11,414
2021-02-12,416
2021-02-13,374
2021-02-14,431
2021-02-15,168
2021-02-17,41
2021-02-18,389
2021-02-19,412
2021-02-20,298
2021-02-21,330
2021-02-22,416
2021-02-23,393
2021-02-24,381
2021-02-25,395
2021-02-26,371
2021-02-27,364
2021-02-28,378
2021-03-01,404
2021-03-02,387
2021-03-03,388
2021-03-04,379
2021-03-05,376
2021-03-06,369
2021-03-07,306
2021-03-08,364
2021-03-09,293
2021-03-10,368
2021-03-11,339
2021-03-12,339
2021-03-13,343
2021-03-14,355
2021-03-15,360
2021-03-16,365
2021-03-17,365
2021-03-18,345
2021-03-19,203
2021-03-20,198
2021-03-21,370
2021-03-22,392
2021-03-23,288
2021-03-24,420
2021-03-25,309
2021-03-26,303
2021-03-27,310
2021-03-28,391
2021-03-29,395
2021-03-30,383
2021-03-31,275
2021-04-01,404
2021-04-02,391
2021-04-03,383
2021-04-04,12
2021-04-05,311
2021-04-06,420
2021-04-07,448
2021-04-08,437
2021-04-09,455
2021-04-10,451
2021-04-11,452
2021-04-12,450
2021-04-13,446
2021-04-14,454
2021-04-15,435
2021-04-16,455
2021-04-17,42
2021-04-19,177
2021-04-20,436
2021-04-21,446
2021-04-22,438
2021-04-23,442
2021-04-24,455
2021-04-25,440
2021-04-26,440
2021-04-27,447
2021-04-28,450
2021-04-29,450
2021-04-30,429
2021-05-01,450
2021-05-02,455
2021-05-03,458
2021-05-04,503
2021-05-05,426
2021-05-06,450
2021-05-07,453
2021-05-08,452
2021-05-09,459
2021-05-10,543
2021-05-11,539
2021-05-12,527
2021-05-13,546
2021-05-14,517
2021-05-15,540
2021-05-16,541
2021-05-17,360
2021-05-18,538
2021-05-19,540
2021-05-20,541
2021-05-21,540
2021-05-22,543
2021-05-23,543
2021-05-24,395
2021-05-25,466
2021-05-26,540
2021-05-27,544
2021-05-28,516
2021-05-29,548
2021-05-30,547
2021-05-31,540
2021-06-01,549
2021-06-02,536
2021-06-03,544
2021-06-04,545
2021-06-05,548
2021-06-06,55
2021-06-07,266
2021-06-08,542
2021-06-09,540
2021-06-10,503
2021-06-11,470
2021-06-12,538
2021-06-13,537
2021-06-14,540
2021-06-15,291
2021-06-16,469
2021-06-17,532
2021-06-18,539
2021-06-19,538
2021-06-20,473
2021-06-21,537
2021-06-22,537
2021-06-23,443
2021-06-24,323
2021-06-25,326
2021-06-26,318
2021-06-27,317
2021-06-28,241
2021-06-29,326
2021-06-30,326
2021-07-01,309
2021-07-02,328
2021-07-03,338
2021-07-04,308
2021-07-05,305
2021-07-06,307
2021-07-07,218
